phase,trial_num,bds_count,listen_start,listen_end,answer_stamp,correct
1,1,3,1630938639.597,1630938641.572,1630938668.02,1
1,2,4,1630938670.957,1630938673.912,1630938698.715,1
1,3,5,1630938702.179,1630938706.288,1630938758.745,0
1,4,5,1630938777.85,1630938781.872,1630938826.195,1
1,5,6,1630938846.654,1630938851.623,1630938908.559,1
1,6,7,1630938931.924,1630938938.132,1630938989.967,1
1,7,8,1630939040.535,1630939047.628,1630939082.691,1
1,8,9,1630939107.152,1630939115.214,1630939156.623,1
1,9,10,1630939181.925,1630939191.227,1630939224.917,0
1,10,10,1630939254.322,1630939263.282,1630939295.169,0
1,11,9,1630939327.113,1630939335.198,1630939359.703,1
1,12,10,1630939377.44,1630939386.442,1630939430.801,1
2,1,3,1630939606.133,1630939608.106,1630939614.863,1
2,2,4,1630939617.694,1630939620.776,1630939626.933,1
2,3,5,1630939629.993,1630939633.844,1630939644.88,1
2,4,6,1630939647.657,1630939652.735,1630939678.929,1
2,5,7,1630939681.866,1630939687.893,1630939710.299,1
2,6,8,1630939713.056,1630939720.076,1630939743.43,0
2,7,8,1630939746.241,1630939753.571,1630939781.057,0
2,8,7,1630939783.661,1630939789.837,1630939817.567,0
2,9,7,1630939820.666,1630939826.928,1630939845.346,0
2,10,6,1630939849.445,1630939854.521,1630939871.449,1
2,11,7,1630939873.658,1630939879.772,1630939894.803,1
2,12,8,1630939897.605,1630939904.72,1630939922.156,0
3,1,3,1630940176.326,1630940178.46,1630940184.311,1
3,2,4,1630940191.12,1630940194.246,1630940200.852,1
3,3,5,1630940203.43,1630940207.387,1630940216.178,1
3,4,6,1630940218.92,1630940223.996,1630940242.684,1
3,5,7,1630940245.503,1630940251.591,1630940336.493,0
3,6,7,1630940358.634,1630940364.811,1630940385.364,1
3,7,8,1630940388.491,1630940395.585,1630940461.13,0
3,8,8,1630940463.853,1630940471.064,1630940493.869,0
3,9,7,1630940496.335,1630940502.34,1630940526.383,1
3,10,8,1630940528.881,1630940535.855,1630940573.862,1
3,11,9,1630940576.87,1630940584.956,1630940623.884,0
3,12,9,1630940626.301,1630940634.386,1630940645.903,0
4,1,3,1630940841.792,1630940843.872,1630940857.834,1
4,2,4,1630940862.592,1630940865.686,1630940875.073,1
4,3,5,1630940878.733,1630940882.625,1630940898.812,1
4,4,6,1630940907.511,1630940912.61,1630940928.8,1
4,5,7,1630940931.575,1630940937.626,1630940975.05,1
4,6,8,1630940977.787,1630940984.836,1630941026.111,0
4,7,8,1630941029.082,1630941036.242,1630941078.081,0
4,8,7,1630941080.86,1630941086.867,1630941104.747,1
4,9,8,1630941107.335,1630941114.418,1630941133.612,1
4,10,9,1630941136.051,1630941144.179,1630941187.642,0
4,11,9,1630941190.156,1630941198.166,1630941219.697,1
4,12,10,1630941222.187,1630941231.435,1630941254.849,0
5,1,3,1630941397.861,1630941399.986,1630941426.69,1
5,2,4,1630941431.654,1630941434.577,1630941459.796,1
5,3,5,1630941475.421,1630941479.549,1630941493.429,1
5,4,6,1630941509.312,1630941514.291,1630941529.599,1
5,5,7,1630941560.394,1630941566.517,1630941597.214,1
5,6,8,1630941636.118,1630941643.342,1630941666.085,1
5,7,9,1630941691.768,1630941699.909,1630941720.764,1
5,8,10,1630941745.53,1630941754.671,1630941785.604,1
5,9,11,1630941804.646,1630941814.726,1630941838.295,1
5,10,12,1630941858.493,1630941869.501,1630941886.97,0
5,11,12,1630941906.686,1630941918.025,1630941944.943,1
5,12,13,1630941967.904,1630941980.182,1630942009.603,0
6,1,3,1630942239.729,1630942241.786,1630942244.895,1
6,2,4,1630942247.476,1630942250.407,1630942258.313,1
6,3,5,1630942260.589,1630942264.716,1630942275.508,1
6,4,6,1630942277.748,1630942282.804,1630942293.002,1
6,5,7,1630942295.23,1630942301.268,1630942313.903,1
6,6,8,1630942316.148,1630942323.114,1630942347.571,0
6,7,8,1630942350.304,1630942357.493,1630942369.744,0
6,8,7,1630942372.184,1630942378.112,1630942391.163,1
6,9,8,1630942393.334,1630942400.578,1630942413.448,0
6,10,8,1630942415.468,1630942422.669,1630942444.301,1
6,11,9,1630942446.403,1630942454.659,1630942467.206,0
6,12,9,1630942469.475,1630942477.732,1630942498.006,0
