phase,trial_num,bds_count,listen_start,listen_end,answer_stamp,correct
1,1,3,1643371746.881,1643371748.852,1643371755.46,1
1,2,4,1643371759.706,1643371762.807,1643371777.731,1
1,3,5,1643371780.527,1643371784.775,1643371793.486,1
1,4,6,1643371796.255,1643371801.468,1643371836.221,1
1,5,7,1643371838.935,1643371844.919,1643371916.096,0
1,6,7,1643371918.731,1643371924.837,1643371950.639,1
1,7,8,1643371953.16,1643371960.234,1643372020.206,1
1,8,9,1643372022.691,1643372030.808,1643372057.695,1
1,9,10,1643372060.198,1643372069.364,1643372139.215,0
1,10,10,1643372141.629,1643372150.832,1643372204.483,0
1,11,9,1643372209.862,1643372218.089,1643372263.71,0
1,12,9,1643372270.199,1643372278.354,1643372313.97,0
2,1,3,1643372431.017,1643372433.079,1643372438.895,1
2,2,4,1643372441.444,1643372444.436,1643372449.848,1
2,3,5,1643372452.338,1643372456.21,1643372463.778,1
2,4,6,1643372466.045,1643372471.157,1643372476.694,1
2,5,7,1643372478.906,1643372485.058,1643372525.117,0
2,6,7,1643372527.621,1643372533.678,1643372591.037,0
2,7,6,1643372593.556,1643372598.431,1643372639.583,0
2,8,6,1643372641.786,1643372646.661,1643372664.017,1
2,9,7,1643372666.264,1643372672.475,1643372684.89,1
2,10,8,1643372687.144,1643372694.369,1643372723.841,0
2,11,8,1643372726.081,1643372733.31,1643372742.333,1
2,12,9,1643372744.708,1643372752.817,1643372773.839,0
3,1,3,1643372852.794,1643372854.722,1643372859.642,1
3,2,4,1643372861.757,1643372864.687,1643372868.531,1
3,3,5,1643372870.805,1643372875.018,1643372879.721,1
3,4,6,1643372882.042,1643372887.05,1643372901.249,0
3,5,6,1643372903.637,1643372908.872,1643372957.084,0
3,6,5,1643372959.428,1643372963.415,1643372968.172,0
3,7,5,1643372970.644,1643372974.692,1643372991.472,0
3,8,4,1643372993.607,1643372996.746,1643373004.554,0
3,9,4,1643373006.732,1643373009.663,1643373019.037,1
3,10,5,1643373021.205,1643373025.269,1643373061.309,1
3,11,6,1643373063.387,1643373068.432,1643373084.326,1
3,12,7,1643373086.665,1643373092.699,1643373138.971,0
4,1,3,1643373213.444,1643373215.486,1643373222.72,1
4,2,4,1643373226.084,1643373229.1,1643373236.191,1
4,3,5,1643373239.842,1643373243.703,1643373252.482,1
4,4,6,1643373255.135,1643373260.239,1643373268.528,1
4,5,7,1643373274.063,1643373280.111,1643373290.916,1
4,6,8,1643373294.304,1643373301.509,1643373311.507,1
4,7,9,1643373314.096,1643373322.206,1643373334.147,1
4,8,10,1643373340.363,1643373349.353,1643373364.132,1
4,9,11,1643373367.353,1643373377.716,1643373393.858,1
4,10,12,1643373398.004,1643373409.295,1643373427.371,1
4,11,13,1643373434.938,1643373447.285,1643373466.615,1
4,12,14,1643373469.162,1643373482.507,1643373502.506,1
5,1,3,1643373605.185,1643373606.996,1643373612.183,1
5,2,4,1643373614.612,1643373617.687,1643373625.201,1
5,3,5,1643373627.442,1643373631.564,1643373649.228,1
5,4,6,1643373651.615,1643373656.791,1643373675.788,0
5,5,6,1643373678.341,1643373683.562,1643373733.842,1
5,6,7,1643373736.225,1643373742.449,1643373756.259,1
5,7,8,1643373758.452,1643373765.665,1643373823.261,0
5,8,8,1643373825.597,1643373832.701,1643373901.988,1
5,9,9,1643373904.189,1643373912.298,1643373985.381,0
5,10,9,1643373987.726,1643373995.836,1643374015.751,0
5,11,8,1643374018.266,1643374025.444,1643374054.958,1
5,12,9,1643374057.063,1643374065.341,1643374100.034,0
6,1,3,1643374202.411,1643374204.532,1643374209.586,1
6,2,4,1643374211.963,1643374215.206,1643374218.908,1
6,3,5,1643374221.057,1643374225.316,1643374229.616,1
6,4,6,1643374231.588,1643374236.732,1643374248.232,1
6,5,7,1643374250.706,1643374256.799,1643374266.85,1
6,6,8,1643374268.994,1643374276.09,1643374298.156,0
6,7,8,1643374306.114,1643374313.211,1643374368.243,0
6,8,7,1643374370.519,1643374376.441,1643374391.034,0
6,9,7,1643374393.231,1643374399.492,1643374417.18,0
6,10,6,1643374419.367,1643374424.301,1643374442.63,1
6,11,7,1643374445.176,1643374451.341,1643374469.077,0
6,12,7,1643374471.304,1643374477.254,1643374564.986,0
